A	B	TargetPathway	type	val	Method
GSE19587	GSE7621	Parkinson disease	Jaccard index	0.004830917874396135	anubix-funcoup
GSE19587	GSE7621	Parkinson disease	Szymkiewicz–Simpson coefficient	0.04	anubix-funcoup
GSE19587	GSE90514	Parkinson disease	Jaccard index	0.18781725888324874	anubix-funcoup
GSE19587	GSE90514	Parkinson disease	Szymkiewicz–Simpson coefficient	0.7254901960784313	anubix-funcoup
GSE20141	GSE20146	Parkinson disease	Jaccard index	0.4397163120567376	anubix-funcoup
GSE20141	GSE20146	Parkinson disease	Szymkiewicz–Simpson coefficient	0.7654320987654321	anubix-funcoup
GSE20141	GSE20163	Parkinson disease	Jaccard index	0.22267206477732793	anubix-funcoup
GSE20141	GSE20163	Parkinson disease	Szymkiewicz–Simpson coefficient	0.6790123456790124	anubix-funcoup
GSE20141	GSE20164	Parkinson disease	Jaccard index	0.20851063829787234	anubix-funcoup
GSE20141	GSE20164	Parkinson disease	Szymkiewicz–Simpson coefficient	0.6049382716049383	anubix-funcoup
GSE20141	GSE20291	Parkinson disease	Jaccard index	0.04964539007092199	anubix-funcoup
GSE20141	GSE20291	Parkinson disease	Szymkiewicz–Simpson coefficient	0.1044776119402985	anubix-funcoup
GSE20141	GSE20292	Parkinson disease	Jaccard index	0.04519774011299435	anubix-funcoup
GSE20141	GSE20292	Parkinson disease	Szymkiewicz–Simpson coefficient	0.09876543209876543	anubix-funcoup
GSE20141	GSE20314	Parkinson disease	Jaccard index	0	anubix-funcoup
GSE20141	GSE20314	Parkinson disease	Szymkiewicz–Simpson coefficient	0	anubix-funcoup
GSE20141	GSE20333	Parkinson disease	Jaccard index	0.2807017543859649	anubix-funcoup
GSE20141	GSE20333	Parkinson disease	Szymkiewicz–Simpson coefficient	0.49230769230769234	anubix-funcoup
GSE20141	GSE7621	Parkinson disease	Jaccard index	0.10416666666666667	anubix-funcoup
GSE20141	GSE7621	Parkinson disease	Szymkiewicz–Simpson coefficient	0.4	anubix-funcoup
GSE20141	GSE90514	Parkinson disease	Jaccard index	0.03125	anubix-funcoup
GSE20141	GSE90514	Parkinson disease	Szymkiewicz–Simpson coefficient	0.0784313725490196	anubix-funcoup
GSE20146	GSE20163	Parkinson disease	Jaccard index	0.4057377049180328	anubix-funcoup
GSE20146	GSE20163	Parkinson disease	Szymkiewicz–Simpson coefficient	0.8114754098360656	anubix-funcoup
GSE20146	GSE20164	Parkinson disease	Jaccard index	0.3948497854077253	anubix-funcoup
GSE20146	GSE20164	Parkinson disease	Szymkiewicz–Simpson coefficient	0.7540983606557377	anubix-funcoup
GSE20146	GSE20291	Parkinson disease	Jaccard index	0.04419889502762431	anubix-funcoup
GSE20146	GSE20291	Parkinson disease	Szymkiewicz–Simpson coefficient	0.11940298507462686	anubix-funcoup
GSE20146	GSE20292	Parkinson disease	Jaccard index	0.05116279069767442	anubix-funcoup
GSE20146	GSE20292	Parkinson disease	Szymkiewicz–Simpson coefficient	0.10576923076923077	anubix-funcoup
GSE20146	GSE20314	Parkinson disease	Jaccard index	0	anubix-funcoup
GSE20146	GSE20314	Parkinson disease	Szymkiewicz–Simpson coefficient	0	anubix-funcoup
GSE20146	GSE20333	Parkinson disease	Jaccard index	0.2986111111111111	anubix-funcoup
GSE20146	GSE20333	Parkinson disease	Szymkiewicz–Simpson coefficient	0.6615384615384615	anubix-funcoup
GSE20146	GSE7621	Parkinson disease	Jaccard index	0.072992700729927	anubix-funcoup
GSE20146	GSE7621	Parkinson disease	Szymkiewicz–Simpson coefficient	0.4	anubix-funcoup
GSE20146	GSE90514	Parkinson disease	Jaccard index	0.048484848484848485	anubix-funcoup
GSE20146	GSE90514	Parkinson disease	Szymkiewicz–Simpson coefficient	0.1568627450980392	anubix-funcoup
GSE20163	GSE20164	Parkinson disease	Jaccard index	0.7666666666666667	anubix-funcoup
GSE20163	GSE20164	Parkinson disease	Szymkiewicz–Simpson coefficient	0.9064039408866995	anubix-funcoup
GSE20163	GSE20291	Parkinson disease	Jaccard index	0.20502092050209206	anubix-funcoup
GSE20163	GSE20291	Parkinson disease	Szymkiewicz–Simpson coefficient	0.7313432835820896	anubix-funcoup
GSE20163	GSE20292	Parkinson disease	Jaccard index	0.3541666666666667	anubix-funcoup
GSE20163	GSE20292	Parkinson disease	Szymkiewicz–Simpson coefficient	0.8173076923076923	anubix-funcoup
GSE20163	GSE20314	Parkinson disease	Jaccard index	0	anubix-funcoup
GSE20163	GSE20314	Parkinson disease	Szymkiewicz–Simpson coefficient	0	anubix-funcoup
GSE20163	GSE20333	Parkinson disease	Jaccard index	0.15789473684210525	anubix-funcoup
GSE20163	GSE20333	Parkinson disease	Szymkiewicz–Simpson coefficient	0.6	anubix-funcoup
GSE20163	GSE7621	Parkinson disease	Jaccard index	0.004081632653061225	anubix-funcoup
GSE20163	GSE7621	Parkinson disease	Szymkiewicz–Simpson coefficient	0.04	anubix-funcoup
GSE20163	GSE90514	Parkinson disease	Jaccard index	0.1724137931034483	anubix-funcoup
GSE20163	GSE90514	Parkinson disease	Szymkiewicz–Simpson coefficient	0.7843137254901961	anubix-funcoup
GSE20164	GSE20291	Parkinson disease	Jaccard index	0.22727272727272727	anubix-funcoup
GSE20164	GSE20291	Parkinson disease	Szymkiewicz–Simpson coefficient	0.746268656716418	anubix-funcoup
GSE20164	GSE20292	Parkinson disease	Jaccard index	0.36444444444444446	anubix-funcoup
GSE20164	GSE20292	Parkinson disease	Szymkiewicz–Simpson coefficient	0.7884615384615384	anubix-funcoup
GSE20164	GSE20314	Parkinson disease	Jaccard index	0	anubix-funcoup
GSE20164	GSE20314	Parkinson disease	Szymkiewicz–Simpson coefficient	0	anubix-funcoup
GSE20164	GSE20333	Parkinson disease	Jaccard index	0.18061674008810572	anubix-funcoup
GSE20164	GSE20333	Parkinson disease	Szymkiewicz–Simpson coefficient	0.6307692307692307	anubix-funcoup
GSE20164	GSE7621	Parkinson disease	Jaccard index	0.017857142857142856	anubix-funcoup
